,land_shift_area,urban_land_use,complete_year,building_shift_total_area,num_room,num_hall,num_toilet,num_partition,management_org,total_ntd,unit_ntd,carpark_shift_area,carpark_ntd,transaction_year,transaction_month,building_age,number_of_land,number_of_building,number_of_carpark,Beitou,Daan District,Datong District,Nangang District,Neihu District,Songshan District,Wanhua District,Wenshan District,Xinyi District,Zhongshan Area,Zhongzheng District,shihlin,Ground floor,Lifting machinery,Lifting plane,Not Applicable_x,Other,Ramp machinery,Ramp plane,Tower parking,Brickwork,Civil engineering,Earthen masonry,Earthwork,Not Applicable_y,Prestressed concrete construction,Reinforced concrete construction,See license_x,See other registration items_x,Steel reinforced concrete construction,Stone building,Strengthen brickwork,Wall type reinforced concrete construction,Wooden,For business,For commercial use,For work,Parking space,Resident,Residential business,See license_y,See other registration items_y,industrial use,Building,Garage,Land,Premises (land + building),Premises (land + building) + parking space
1978,14.14,work,97.0,115.47,2,1,1,1,1,15280000.0,132328.7433965532,0.0,0,2019,11,1922.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2196,53.77,work,64.0,115.02,3,2,2,1,0,14800000.0,128673.27421318034,0.0,0,2019,11,1955.0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2197,6.84,work,0.0,0.0,0,0,0,1,0,2068500.0,302412.28070175444,0.0,0,2019,11,2019.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2211,117.0,work,0.0,0.0,0,0,0,1,0,28314000.0,242000.0,0.0,0,2019,11,2019.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2315,29.18,work,78.0,110.21,2,1,1,1,0,11200000.0,101624.17203520553,0.0,0,2019,11,1941.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2400,40.4,work,71.0,144.72,0,2,1,1,0,13380000.0,92454.39469320068,0.0,0,2019,11,1948.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2755,45.0,work,0.0,0.0,0,0,0,1,0,12733200.0,282960.0,0.0,0,2019,11,2019.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2805,20.08,work,97.0,143.69,2,2,1,1,1,30460000.0,211984.13250748138,42.51,2500000,2019,11,1922.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2853,47.87,work,98.0,406.12,0,0,0,0,1,43310000.0,106643.35664335664,120.24,0,2019,9,1921.0,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2911,14.32,work,97.0,87.12,0,0,0,0,1,14380000.0,165059.6877869605,0.0,0,2019,11,1922.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2913,47.1,work,69.0,132.32,3,2,1,1,0,15000000.0,113361.5477629988,0.0,0,2019,11,1950.0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2964,16.13,work,97.0,123.94,2,1,1,1,1,10500000.0,84718.41213490398,43.19,0,2019,11,1922.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
3164,7.77,work,104.0,48.64,1,1,1,1,1,7700000.0,158305.92105263154,0.0,0,2019,11,1915.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
3348,29.45,work,64.0,92.12,3,2,2,1,0,14600000.0,158488.92748588795,0.0,0,2019,11,1955.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3407,26.72,work,74.0,170.62,0,1,2,1,1,22980000.0,134685.26550228574,0.0,0,2019,11,1945.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3410,120.12,work,0.0,0.0,0,0,0,1,0,26345567.0,219327.06460206452,0.0,0,2019,10,2019.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
3474,21.37,work,98.0,115.49,0,0,0,0,1,11168000.0,96701.01307472508,0.0,0,2019,11,1921.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
3549,26.0,work,64.0,80.12,3,1,1,1,0,11880000.0,148277.58362456315,0.0,0,2019,11,1955.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
3648,31.5,work,67.0,80.12,3,2,1,1,0,6000000.0,74887.66849725411,0.0,0,2019,10,1952.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3736,0.06,work,99.0,17.01,0,0,0,1,1,1600000.0,94062.3162845385,17.01,1600000,2019,12,1920.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
3790,166.08,work,79.0,375.73,0,0,0,0,0,34700000.0,92353.55175258828,0.0,0,2019,11,1940.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3791,162.39,work,79.0,365.42,0,0,0,0,0,33800000.0,92496.30562092934,0.0,0,2019,11,1940.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
4159,9.47,work,97.0,90.52,1,1,1,1,1,15400000.0,170128.14847547506,43.02,2800000,2019,12,1922.0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
4187,805.7,work,80.0,2564.67,0,0,0,0,1,325000000.0,126721.95643104179,0.0,0,2019,10,1939.0,1,2,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
4403,51.87,work,101.0,319.9600000000001,0,0,0,0,1,51626000.0,161351.41892736588,48.21,2300000,2019,11,1918.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
4405,31.5,work,64.0,80.91,2,1,1,1,0,9500000.0,117414.41107403288,0.0,0,2019,12,1955.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
4513,45.59,work,78.0,161.47,3,2,2,1,1,7570000.0,46881.77370409363,0.0,0,2019,11,1941.0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
4559,4.58,work,90.0,56.75,0,0,0,1,1,2900000.0,51101.32158590308,56.75,2900000,2019,12,1929.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4605,17.27,work,98.0,106.81,0,0,0,0,1,16350000.0,153075.5547233405,25.01,0,2019,11,1921.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
4612,41.49,work,79.0,195.73,4,3,3,1,1,12700000.0,64885.301180197195,0.0,0,2019,11,1940.0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
4620,19.0,work,0.0,46.03,3,1,1,1,0,7000000.0,152074.73386921574,0.0,0,2019,12,2019.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
4820,8.44,work,104.0,52.36,1,2,1,1,1,7360000.0,140565.31703590526,0.0,0,2019,12,1915.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
4852,68.5,work,105.0,432.09,0,0,0,0,1,62000000.0,143488.62505496538,160.4,7600000,2019,11,1914.0,1,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
4855,11.46,work,97.0,99.44,0,0,0,0,1,12250000.0,123189.86323411102,35.03,0,2019,11,1922.0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
4995,67.94,work,87.0,249.82,0,0,0,0,1,27850000.0,111480.2657913698,0.0,0,2019,12,1932.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
5179,52.15,work,103.0,358.07,0,0,0,0,1,61500000.0,171754.12628815597,0.0,0,2019,12,1916.0,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
5280,78.23,work,108.0,896.9200000000002,0,0,0,0,0,173080000.0,192971.50247513712,234.3,17500000,2019,11,1911.0,1,1,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
5330,51.95,work,101.0,368.17,0,0,0,0,1,53926000.0,146470.3805307331,96.42,4600000,2019,11,1918.0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
5716,257.0,work,0.0,232.32,0,0,0,0,0,105449000.0,453895.48898071615,0.0,0,2019,12,2019.0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
5760,7.6,work,97.0,45.88,1,1,1,1,1,7000000.0,152571.92676547513,0.0,0,2019,12,1922.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
