,district,land_shift_area,complete_year,building_shift_total_area,num_room,num_hall,num_toilet,num_partition,management_org,total_ntd,carpark_shift_area,carpark_ntd,transaction_year,transaction_month,number_of_building,number_of_carpark,Address,Agriculture,Other_x,Others,Quotient,work,Ground floor,Lifting machinery,Lifting plane,Not Applicable_x,Other_y,Ramp machinery,Ramp plane,Tower parking,Brickwork,Civil engineering,Earthen masonry,Earthwork,Not Applicable_y,Prestressed concrete construction,Reinforced concrete construction,See license,See other registration items,Steel reinforced concrete construction,Stone building,Strengthen brickwork,Wall type reinforced concrete construction,Wooden,Building,Garage,Land,Premises (land + building),Premises (land + building) + parking space
35,Zhongshan Area,88.0,60.0,220.5,6,6,3,1,0,42700000.0,0.0,0,2019,9,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
36,Zhongshan Area,6.12,96.0,57.15000000000001,1,1,1,1,1,9600000.0,13.27,0,2019,9,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
37,Zhongshan Area,10.97,79.0,84.45,2,1,1,1,1,13500000.0,0.0,0,2019,10,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
38,Zhongshan Area,11.73,79.0,92.1,1,1,0,1,1,22600000.0,0.0,0,2019,10,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
39,Zhongshan Area,5.25,69.0,45.04,1,1,1,1,1,6800000.0,0.0,0,2019,9,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
40,Xinyi District,11.42,98.0,50.53,1,1,1,1,1,13300000.0,0.0,0,2019,9,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
41,Songshan District,14.43,65.0,61.92,2,2,1,1,1,13000000.0,0.0,0,2019,10,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
42,Xinyi District,6.69,96.0,69.4,1,1,1,1,1,25800000.0,17.45,0,2019,9,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
43,Songshan District,29.77,91.0,138.06,3,2,2,1,1,26200000.0,0.0,0,2019,9,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
44,Songshan District,27.93,81.0,118.24,3,2,2,1,1,23200000.0,0.0,0,2019,9,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
45,Xinyi District,31.0,62.325,63.09,3,1,1,1,0,10480000.0,0.0,0,2019,9,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
46,Xinyi District,11.98,107.0,111.37,2,1,1,1,1,26800000.0,33.86,2700000,2019,10,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
47,Xinyi District,6.47,82.0,31.52,0,0,0,1,0,2450000.0,31.52,2450000,2019,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
48,Songshan District,10.42,107.0,155.09,3,2,2,1,1,34660000.0,14.46,1700000,2019,9,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
49,Songshan District,6.97,107.0,138.25,2,2,1,1,1,27900000.0,37.72,2700000,2019,8,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
50,Beitou,42.0,63.0,105.97,3,2,2,1,0,21500000.0,0.0,0,2019,10,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
51,Beitou,5.22,67.0,56.9,2,1,1,1,1,8500000.0,0.0,0,2019,10,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
52,Beitou,2246.29,0.0,0.0,0,0,0,1,0,135900000.0,0.0,0,2019,10,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
53,shihlin,2602.53,0.0,0.0,0,0,0,1,0,50000000.0,0.0,0,2019,10,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
54,Beitou,17.59,98.0,124.36,2,2,1,1,1,13000000.0,47.42,0,2019,10,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
55,Beitou,10.2,86.0,70.18,2,1,1,1,1,8400000.0,0.0,0,2019,10,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
56,shihlin,94.12,65.0,102.92,4,2,2,1,0,11000000.0,0.0,0,2019,10,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
57,Beitou,7.88,98.0,48.8,0,0,0,0,1,4880000.0,0.0,0,2019,10,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
58,shihlin,33.24,71.0,114.1,3,2,2,1,0,15500000.0,0.0,0,2019,9,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
59,shihlin,215.29,0.0,0.0,0,0,0,1,0,538213.0,0.0,0,2019,10,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
60,shihlin,30.75,64.98,83.48,2,1,1,1,0,17800000.0,0.0,0,2019,10,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
61,Beitou,115.0,75.0,107.66,2,1,3,1,0,42000000.0,0.0,0,2019,9,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
62,Beitou,4.13,67.0,25.5,1,0,1,1,0,2500000.0,0.0,0,2019,10,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
63,Beitou,95.71,0.0,0.0,0,0,0,1,0,68432650.0,0.0,0,2019,11,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
64,Beitou,28.4,65.0,91.42,3,2,2,1,0,10000000.0,0.0,0,2019,9,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
65,Daan District,25.38,80.0,115.37,3,2,1,1,0,31600000.0,0.0,0,2019,7,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
66,Daan District,20.74,71.0,146.51999999999995,0,2,1,1,1,55000000.0,0.0,0,2019,8,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
67,Daan District,50.0,58.92857142857143,138.81,4,2,2,1,0,34500000.0,0.0,0,2019,7,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
68,Daan District,0.1,106.0,32.09,0,0,0,1,1,3100000.0,32.07,3100000,2019,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
69,Daan District,3.31,96.0,38.94,0,0,0,0,1,14000000.0,0.0,0,2019,10,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
70,Daan District,11.75,94.0,54.38,1,1,1,1,1,12880000.0,0.0,0,2019,10,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
71,Daan District,8.2,0.0,91.09,0,0,0,0,1,24000000.0,0.0,0,2019,10,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
72,Daan District,31.5,87.0,61.78,0,0,0,0,0,14700000.0,0.0,0,2019,10,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
73,Daan District,24.0,60.0,80.57,3,2,1,1,0,15700000.0,0.0,0,2019,10,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
74,Wenshan District,36.33,78.0,109.0,3,2,2,1,1,12800000.0,0.0,0,2019,9,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
75,Wanhua District,53.48,102.0,206.69,4,2,2,1,1,13000000.0,0.0,0,2014,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
76,Zhongshan Area,47.09,89.0,155.26999999999995,3,2,2,1,0,24100000.0,0.0,0,2019,10,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
77,Neihu District,20.98,104.0,224.1,2,2,2,1,1,38800000.0,33.24,2500000,2019,7,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
78,Neihu District,22.28,97.0,118.89,2,2,1,1,1,20800000.0,24.09,2500000,2019,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
79,Nangang District,26.78,95.13333333333334,130.53,4,2,2,1,1,20500000.0,0.0,0,2019,9,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
80,Songshan District,17.48,106.0,132.93,2,2,2,1,1,27500000.0,29.17,3000000,2019,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
81,Nangang District,21.25,63.4,77.0,3,1,1,1,0,3900000.0,0.0,0,2019,9,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
82,Xinyi District,25.3,76.0,131.75,3,2,2,1,0,23850000.0,0.0,0,2019,10,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
83,Xinyi District,18.0,0.0,0.0,0,0,0,1,0,820800.0,0.0,0,2019,10,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
84,Beitou,19.83,66.0,85.8,2,2,1,1,0,2660000.0,0.0,0,2019,10,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
85,shihlin,6.29,96.0,41.69,0,1,1,1,1,7440000.0,0.0,0,2019,8,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
86,Beitou,36.75,62.0,87.3,2,2,1,1,0,19100000.0,0.0,0,2019,10,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
87,shihlin,16.36,67.0,106.65,1,2,1,1,1,16200000.0,0.0,0,2019,10,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
88,Daan District,3.0,0.0,0.0,0,0,0,1,0,188550.0,0.0,0,2019,11,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
89,Daan District,7.13,85.0,38.62000000000001,1,1,1,1,1,10300000.0,0.0,0,2019,10,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
90,Daan District,20.57,69.0,185.77,3,2,2,1,1,51000000.0,0.0,0,2019,8,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
91,Daan District,10.48,72.0,120.55,2,1,2,1,1,23000000.0,0.0,0,2019,9,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
92,Daan District,12.55,72.0,139.04,3,2,1,1,1,26000000.0,0.0,0,2019,9,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
