district,land_shift_area,urban_land_use,complete_year,building_shift_total_area,num_room,num_hall,num_toilet,num_partition,management_org,total_ntd,unit_ntd,carpark_shift_area,carpark_ntd,transaction_year,transaction_month,building_age,number_of_land,number_of_building,number_of_carpark
5,17.0,Quotient,0.0,0.0,0,0,0,1,0,4200000.0,247058.82352941175,0.0,0,2019,12,2019.0,1,0,0
10,4.68,Quotient,107.0,44.56,1,1,1,1,1,21000000.0,471274.68581687607,0.0,0,2019,12,1912.0,12,1,0
1,15.38,Quotient,90.0,134.05,3,2,2,1,1,22800000.0,170085.78888474448,21.04,0,2019,12,1929.0,1,1,1
10,22.41,Quotient,82.0,186.13,4,1,2,1,1,20530000.0,110299.25321012195,34.61,0,2019,12,1937.0,2,1,1
10,10.86,Quotient,69.0,122.14,3,2,2,1,1,29700000.0,243163.5827738661,0.0,0,2019,12,1950.0,2,1,0
10,5.01,Quotient,108.0,51.41,1,1,1,1,1,16000000.0,311223.4973740518,0.0,0,2019,11,1911.0,1,1,0
11,0.54,Quotient,82.0,38.1,0,0,0,1,1,2850000.0,74803.14960629921,38.1,2850000,2020,1,1938.0,0,0,1
11,32.75,Quotient,63.33333333333334,104.03,6,3,3,1,0,18000000.0,173027.01143900794,0.0,0,2019,11,1955.666666666667,3,1,0
8,7.55,Quotient,97.0,63.23,1,1,1,1,1,9960000.0,157520.16447888658,18.91,0,2019,12,1922.0,1,1,1
6,46.46,Quotient,77.0,192.42,4,2,2,1,0,24000000.0,124727.15933894606,0.0,0,2019,10,1942.0,1,1,0
8,28.3,Quotient,108.0,142.52,3,2,2,1,1,27000000.0,189447.0951445411,31.68,0,2019,12,1911.0,1,1,1
8,3.48,Quotient,68.0,34.54,1,1,1,1,1,3450000.0,99884.19224088016,0.0,0,2019,12,1951.0,1,1,0
12,3.94,Quotient,78.0,57.97,2,1,1,1,1,15435000.0,266258.40952216665,0.0,0,2020,1,1942.0,1,1,0
12,3.31,Quotient,96.0,38.94,1,1,1,1,1,13800000.0,354391.3713405239,0.0,0,2020,1,1924.0,2,1,0
12,19.9,Quotient,0.0,178.88,0,0,0,0,1,51500000.0,287902.50447227195,0.0,0,2020,1,2020.0,1,1,0
7,8.18,Quotient,65.0,41.83000000000001,0,0,0,0,1,13000000.0,310781.7355964618,0.0,0,2019,11,1954.0,2,1,0
7,0.16,Quotient,97.0,21.38,0,0,0,1,1,950000.0,44434.05051449953,0.0,950000,2020,1,1923.0,0,0,1
3,25.83,Quotient,94.0,150.44,4,2,2,1,1,22200000.0,147567.13639989364,33.44,0,2020,1,1926.0,1,1,1
7,0.04,Quotient,0.0,0.0,0,0,0,1,0,15588.0,389700.0,0.0,0,2020,1,2020.0,1,0,0
6,25.02,Quotient,103.0,178.39,3,2,2,1,1,28850000.0,161724.3119008913,10.22,1800000,2020,1,1917.0,1,1,1
10,14.34,Quotient,96.0,181.04,4,2,2,1,1,22100000.0,122072.47017233759,30.58,3000000,2019,12,1923.0,2,1,1
5,25.17,Quotient,60.0,94.3,3,2,2,1,0,14360000.0,152279.95758218452,0.0,0,2019,12,1959.0,1,1,0
12,18.41,Quotient,102.0,141.97,3,2,2,1,1,45000000.0,316968.3736000564,10.7,4000000,2019,12,1917.0,2,2,2
7,58.38,Quotient,57.0,173.7,4,1,1,1,0,16800000.0,96718.48013816928,0.0,0,2018,12,1961.0,3,2,0
9,16.64,Quotient,72.0,114.23,5,2,2,1,1,25500000.0,223233.8264904141,0.0,0,2019,12,1947.0,1,1,0
8,8.75,Quotient,67.0,48.23,0,0,1,1,1,6300000.0,130624.09288824385,0.0,0,2019,11,1952.0,1,1,0
8,3.27,Quotient,77.0,32.67,1,1,1,1,1,6350000.0,194367.9216406489,0.0,0,2019,12,1942.0,1,3,0
11,155.0,Quotient,71.0,760.93,0,0,0,0,0,208000000.0,273349.71679392323,0.0,0,2019,10,1948.0,2,6,0
11,10.93,Quotient,99.0,150.26999999999995,2,1,1,1,1,33500000.0,222932.05563319358,0.0,0,2019,12,1920.0,2,2,1
9,8.15,Quotient,107.0,124.46,2,1,2,1,1,37550000.0,301703.35850875784,36.39,3600000,2020,1,1913.0,1,1,1
9,7.26,Quotient,106.0,66.45,1,1,1,1,1,16680000.0,251015.8013544018,0.0,0,2019,12,1913.0,1,1,0
10,9.67,Quotient,104.0,141.8,3,2,2,1,1,32380000.0,228349.78843441466,11.75,1600000,2019,11,1915.0,1,2,1
5,25.25,Quotient,64.57142857142857,75.5,2,1,1,1,0,10300000.0,136423.84105960265,0.0,0,2020,1,1955.4285714285716,1,1,0
2,4.36,Quotient,67.0,40.07,1,1,1,1,1,5900000.0,147242.32592962316,0.0,0,2019,12,1952.0,3,1,0
10,4.75,Quotient,97.0,37.64,1,1,1,1,1,11500000.0,305526.0361317747,0.0,0,2019,10,1922.0,2,1,0
2,8.33,Quotient,106.0,109.55,0,1,1,1,1,24500000.0,223642.1725239617,0.0,0,2019,11,1913.0,1,1,0
5,7.07,Quotient,94.0,80.85,2,2,1,1,1,13800000.0,170686.4564007421,21.76,0,2019,12,1925.0,2,1,1
5,20.85,Quotient,106.0,247.29,4,2,3,1,1,54000000.0,218367.0993570302,36.25,0,2019,12,1913.0,2,1,1
2,14.49,Quotient,70.0,68.84,2,2,1,1,0,6900000.0,100232.42300987797,0.0,0,2019,12,1949.0,1,1,0
11,2.57,Quotient,81.0,33.59,0,0,0,1,1,2380000.0,70854.42095861862,33.59,2380000,2019,12,1938.0,0,0,1
9,1.9,Quotient,78.0,29.5,1,1,1,1,1,6000000.0,203389.83050847452,0.0,0,2019,12,1941.0,1,1,0
8,5.24,Quotient,94.0,91.42,2,1,1,1,1,14280000.0,156202.14395099544,0.0,0,2019,11,1925.0,1,1,1
8,2.69,Quotient,68.0,31.58,0,0,0,0,1,4500000.0,142495.25015832804,0.0,0,2019,12,1951.0,1,1,0
8,5.75,Quotient,80.0,52.22,1,1,1,1,1,8400000.0,160857.908847185,0.0,0,2019,12,1939.0,1,1,0
3,26.64,Quotient,74.0,104.38,3,2,2,1,0,12000000.0,114964.5525962828,0.0,0,2020,1,1946.0,1,1,0
3,16.35,Quotient,95.0,175.94,3,2,2,1,1,33680000.0,191428.89621461858,42.09,0,2019,12,1924.0,1,1,1
7,15.76,Quotient,68.0,118.92,3,2,2,1,1,20550000.0,172805.24722502526,0.0,0,2019,11,1951.0,1,1,0
7,57.62,Quotient,104.0,414.76,0,0,0,0,1,77120000.0,185938.85620599863,64.36,3000000,2019,11,1915.0,1,1,2
12,10.35,Quotient,76.375,110.9,3,2,2,1,1,29680000.0,267628.4941388639,0.0,0,2020,1,1943.625,1,1,0
11,6.12,Quotient,94.0,42.29,1,1,1,1,1,15880000.0,375502.48285646725,0.0,0,2019,12,1925.0,3,1,0
12,3.34,Quotient,99.0,37.12,0,1,1,1,1,14000000.0,377155.1724137931,0.0,0,2019,12,1920.0,1,1,0
1,34.38,Quotient,90.0,205.41000000000003,4,2,2,1,1,27000000.0,131444.42821673726,41.73,2000000,2019,12,1929.0,1,1,1
1,29.24,Quotient,97.0,279.17,4,2,2,1,1,36500000.0,130744.70752588034,77.28,4200000,2019,12,1922.0,1,1,2
6,27.62,Quotient,100.0,340.15,3,2,3,1,1,62280000.0,183095.69307658388,99.35,7500000,2019,12,1919.0,1,1,3
8,6.39,Quotient,68.0,31.53,0,0,1,1,0,5920000.0,187757.69108785284,0.0,0,2019,12,1951.0,2,1,0
8,2.38,Quotient,69.0,28.31,1,1,1,1,1,4200000.0,148357.47085835392,0.0,0,2019,12,1950.0,1,1,0
12,37.64,Quotient,103.0,569.03,1,2,5,1,1,223500000.0,392773.667469202,53.04,6500000,2019,11,1916.0,1,1,2
12,38.1,Quotient,103.0,608.0699999999998,1,2,5,1,1,239500000.0,393869.12690973096,92.07,9500000,2019,11,1916.0,1,1,3
12,11.12,Quotient,73.0,121.11,3,2,2,1,1,29000000.0,239451.7380893403,0.0,0,2019,12,1946.0,1,1,0
3,4.09,Quotient,94.0,37.7,1,1,1,1,1,5850000.0,155172.41379310345,0.0,0,2020,1,1926.0,1,1,0
7,19.71,Quotient,75.0,225.76,3,2,2,1,1,33800000.0,149716.51311126858,0.0,0,2020,1,1945.0,1,1,1
7,24.99,Quotient,71.0,123.97,3,2,2,1,1,30000000.0,241994.0308139066,0.0,0,2020,1,1949.0,1,1,0
8,1.21,Quotient,80.0,46.2,0,0,0,1,1,2600000.0,56277.05627705628,46.2,2600000,2020,1,1940.0,0,0,1
8,29.25,Quotient,72.5,141.52,1,1,1,1,0,22397995.0,158267.34737139626,0.0,0,2020,1,1947.5,3,1,0
8,133.0,Quotient,56.0,212.12,0,0,0,0,0,163000000.0,768432.9624740713,0.0,0,2019,12,1963.0,1,1,0
8,10.78,Quotient,62.0,46.25,1,1,1,1,1,6280000.0,135783.78378378382,0.0,0,2019,12,1957.0,1,1,0
8,4.7,Quotient,92.0,63.03,2,1,1,1,1,10280000.0,163096.9379660479,0.0,0,2020,1,1928.0,1,1,1
8,5.14,Quotient,90.0,68.83,2,2,1,1,1,15600000.0,226645.3581287229,0.0,0,2019,12,1929.0,1,1,0
8,5.85,Quotient,90.0,79.18,2,1,1,1,1,19000000.0,239959.58575397823,0.0,0,2019,12,1929.0,1,1,0
4,3.7,Quotient,0.0,0.0,0,0,0,1,0,133810.0,36164.86486486487,0.0,0,2020,1,2020.0,1,0,0
4,2.0,Quotient,0.0,0.0,0,0,0,1,0,72334.0,36167.0,0.0,0,2020,1,2020.0,1,0,0
4,3.0,Quotient,0.0,0.0,0,0,0,1,0,108500.0,36166.66666666666,0.0,0,2020,1,2020.0,1,0,0
4,3.3,Quotient,0.0,0.0,0,0,0,1,0,119350.0,36166.66666666667,0.0,0,2020,1,2020.0,1,0,0
11,3.45,Quotient,78.0,40.65,1,1,1,1,1,9000000.0,221402.21402214022,0.0,0,2020,1,1942.0,6,1,0
5,26.0,Quotient,64.57142857142857,90.32,3,2,1,1,0,13560000.0,150132.86093888394,0.0,0,2020,1,1955.4285714285716,2,1,0
10,12.5,Quotient,107.0,118.99,2,2,2,1,1,52200000.0,438692.3270863098,0.0,0,2020,1,1913.0,12,2,0
2,15.97,Quotient,108.0,238.96,3,2,2,1,1,36150000.0,151280.54904586542,83.02,4500000,2020,1,1912.0,2,1,2
2,7.81,Quotient,101.0,120.97,2,2,1,1,1,21500000.0,177730.01570637352,0.0,0,2020,1,1919.0,1,1,1
5,5.36,Quotient,93.0,50.88,1,0,1,1,1,6500000.0,127751.57232704404,0.0,0,2020,1,1927.0,1,1,1
2,2.54,Quotient,69.0,27.160000000000004,1,1,1,1,1,4100000.0,150957.29013254785,0.0,0,2019,12,1950.0,11,1,0
10,4.58,Quotient,108.0,90.63,1,1,1,1,0,17800000.0,196402.9570782302,38.61,1500000,2019,11,1911.0,2,1,1
10,7.58,Quotient,86.0,48.96,1,1,1,1,0,8400000.0,171568.62745098042,0.0,0,2019,12,1933.0,6,1,0
10,7.62,Quotient,108.0,76.96000000000002,2,1,1,1,1,22290000.0,289630.9771309771,0.0,0,2020,1,1912.0,2,1,0
10,6.39,Quotient,108.0,62.85,2,1,1,1,1,17880000.0,284486.8735083532,0.0,0,2020,1,1912.0,2,1,0
10,4.83,Quotient,108.0,93.62,1,1,1,1,0,18880000.0,201666.31061738945,38.61,1500000,2019,12,1911.0,2,1,1
10,11.14,Quotient,107.0,127.32,2,1,1,1,1,21720000.0,170593.77945334592,34.56,2400000,2019,12,1912.0,2,1,1
1,11.69,Quotient,0.0,0.0,0,0,0,1,0,4956000.0,423952.0958083833,0.0,0,2019,12,2019.0,4,0,0
10,0.18,Quotient,97.0,46.69000000000001,0,0,0,1,1,2325000.0,49796.53030627543,46.68,2325000,2020,1,1923.0,0,0,1
1,16.67,Quotient,0.0,0.0,0,0,0,1,0,6650000.0,398920.2159568086,0.0,0,2019,11,2019.0,3,0,0
5,3.04,Quotient,73.0,37.02,1,1,1,1,1,5930000.0,160183.68449486766,0.0,0,2019,12,1946.0,1,1,0
2,9.94,Quotient,106.0,123.12,3,2,2,1,1,23850000.0,193713.45029239767,0.0,0,2020,1,1914.0,1,1,0
10,10.03,Quotient,107.0,124.52,0,0,0,0,1,33000000.0,265017.66784452304,29.04,2400000,2020,1,1913.0,1,1,1
9,9.11,Quotient,107.0,141.44,3,2,2,1,1,31800000.0,224830.31674208146,14.46,2000000,2019,12,1912.0,1,1,1
9,4.13,Quotient,72.0,44.71,2,2,1,1,1,9000000.0,201297.24893759785,0.0,0,2020,1,1948.0,1,1,0
8,38.2,Quotient,77.0,160.98,4,2,2,1,0,23600000.0,146602.06236799606,0.0,0,2019,12,1942.0,2,1,0
6,4.87,Quotient,96.0,54.64,1,1,1,1,1,9560000.0,174963.39677891653,0.0,0,2019,12,1923.0,1,1,1
8,5.5,Quotient,71.0,37.73,1,1,1,1,1,5500000.0,145772.59475218653,0.0,0,2019,12,1948.0,1,1,0
8,31.5,Quotient,61.08333333333334,91.75,3,2,1,1,0,14500000.0,158038.14713896462,0.0,0,2019,12,1957.916666666667,1,1,0
6,34.81,Quotient,103.0,381.34,4,2,3,1,1,88000000.0,230765.1964126501,0.0,0,2019,12,1916.0,2,1,2
8,9.87,Quotient,106.0,99.48,2,2,2,1,1,29000000.0,291515.88258946524,7.44,0,2019,12,1913.0,1,1,1
8,4.92,Quotient,81.0,43.61,0,0,0,0,1,6480000.0,148589.77298784687,0.0,0,2020,1,1939.0,1,1,0
8,6.19,Quotient,73.0,37.58,1,1,1,1,1,5550000.0,147684.93879723258,0.0,0,2020,1,1947.0,1,1,0
8,13.17,Quotient,67.0,116.89,0,0,0,0,1,10600000.0,90683.54863546924,0.0,0,2019,11,1952.0,1,1,0
8,34.16,Quotient,70.0,361.84,0,0,0,0,1,76000000.0,210037.58567322567,49.37,0,2019,12,1949.0,8,2,1
7,17.39,Quotient,108.0,70.18,1,1,1,1,1,19900000.0,283556.5688230265,0.0,0,2019,12,1911.0,1,1,0
