Index,land_shift_area,complete_year,building_shift_total_area,num_room,num_hall,num_toilet,num_partition,management_org,total_ntd,unit_ntd,carpark_shift_area,carpark_ntd,transaction_year,transaction_month,building_age,number_of_land,number_of_building,number_of_carpark,land,building,garage,Address,Agriculture,Other_x,Others,Quotient,work,For business,For commercial use,For work,Parking space,Resident,Residential business,See license_x,See other registration items_x,industrial use,Brickwork,Civil engineering,Earthen masonry,Earthwork,Not Applicable_x,Prestressed concrete construction,Reinforced concrete construction,See license_y,See other registration items_y,Steel reinforced concrete construction,Stone building,Strengthen brickwork,Wall type reinforced concrete construction,Wooden,Ground floor,Lifting machinery,Lifting plane,Not Applicable_y,Other_y,Ramp machinery,Ramp plane,Tower parking
333,0.87,97.0,40.24,0,0,0,1,1,1300000.0,32306.163021868782,40.24,1300000,2019,10,1922.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
337,95.0,55.0,353.63,4,2,3,1,1,100580000.0,284421.57056810794,0.0,0,2019,9,1964.0,2,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
340,64.31,103.0,543.17,3,2,3,1,1,126800000.0,233444.40966916442,185.2,0,2019,9,1916.0,2,1,4,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
348,13.22,68.0,86.88,2,1,1,1,1,15000000.0,172651.93370165743,0.0,0,2019,10,1951.0,3,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
352,6.07,68.0,58.18,2,1,1,1,1,8830000.0,151770.36782399454,0.0,0,2019,9,1951.0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
456,19.52,106.0,257.79,0,0,0,0,1,90317600.0,350353.38841692853,0.0,0,2016,3,1910.0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
457,0.3,106.0,55.08,0,0,0,1,1,5000000.0,90777.05156136527,54.98,5000000,2016,3,1910.0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
458,16.42,106.0,197.59,0,0,0,0,1,69310000.0,350776.86117718514,0.0,0,2016,3,1910.0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
459,11.51,106.0,188.56,0,0,0,0,1,58880400.0,312263.4705133644,27.49,2400000,2016,3,1910.0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
460,0.15,106.0,27.540000000000006,0,0,0,1,1,2600000.0,94408.13362381989,27.49,2600000,2016,3,1910.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
461,14.66,106.0,202.44,0,0,0,0,1,63882800.0,315564.1177632879,27.49,2600000,2016,3,1910.0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
462,10.29,106.0,168.89999999999995,0,0,0,0,1,51920400.0,307403.1971580817,27.49,2400000,2016,3,1910.0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
465,4.16,66.0,53.04,2,1,1,1,1,6660000.0,125565.61085972849,0.0,0,2019,10,1953.0,2,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
