district,land_shift_area,urban_land_use,complete_year,building_shift_total_area,num_room,num_hall,num_toilet,num_partition,management_org,total_ntd,unit_ntd,carpark_shift_area,carpark_ntd,transaction_year,transaction_month,building_age,number_of_land,number_of_building,number_of_carpark
1,38.03,Address,108.0,323.0900000000001,4,3,2,1,1,49880000.0,154384.22730508525,93.4,4400000,2017,2,1909.0,1,1,2
1,38.03,Address,108.0,323.0900000000001,4,2,3,1,1,48500000.0,150112.97161781546,93.4,4500000,2019,1,1911.0,1,1,2
10,15.02,Address,72.0,121.24,3,2,2,1,1,17000000.0,140217.74991751902,0.0,0,2019,3,1947.0,1,1,0
1,48.0,Address,72.0,82.35,2,1,1,1,1,10420000.0,126533.09046751673,0.0,0,2019,4,1947.0,3,1,0
1,31.98,Address,69.0,88.69,3,2,1,1,0,11200000.0,126282.55722178375,0.0,0,2019,4,1950.0,4,1,0
10,33.0,Address,70.5909090909091,117.47,2,2,1,1,0,16000000.0,136204.98850770408,0.0,0,2019,4,1948.409090909091,1,1,0
2,12.4,Address,0.0,46.08,1,1,1,1,1,7800000.0,169270.83333333337,0.0,0,2019,4,2019.0,1,1,0
1,82.14,Address,88.0,217.47,4,2,2,1,1,25500000.0,117257.55276589876,35.09,0,2019,4,1931.0,8,1,1
5,21.25,Address,62.875,65.96,3,1,1,1,0,4600000.0,69739.2359005458,0.0,0,2019,3,1956.125,1,1,0
2,26.49,Address,71.0,99.89,2,2,1,1,1,13800000.0,138151.96716388027,0.0,0,2019,4,1948.0,1,1,0
8,24.5,Address,58.0,70.94,3,2,1,1,0,13500000.0,190301.66337750206,0.0,0,2019,4,1961.0,1,1,0
6,16.86,Address,94.0,94.7,4,2,2,1,1,8000000.0,84477.29672650475,6.49,0,2019,3,1925.0,1,1,1
11,21.09,Address,65.0,84.66,3,2,1,1,0,11500000.0,135837.46751712734,0.0,0,2019,4,1954.0,1,1,0
4,41.36,Address,98.0,205.0,4,2,2,1,1,40200000.0,196097.56097560973,27.85,0,2019,4,1921.0,1,1,1
9,39.58,Address,75.0,125.0,3,2,2,1,0,20200000.0,161600.0,0.0,0,2019,4,1944.0,1,1,0
4,171.0,Address,0.0,0.0,0,0,0,1,0,26890000.0,157251.4619883041,0.0,0,2019,4,2019.0,1,0,0
9,31.05,Address,81.0,128.44,3,2,2,1,1,25250000.0,196589.847399564,0.0,0,2019,4,1938.0,1,1,0
11,27.0,Address,0.0,91.55,1,1,1,1,0,19150000.0,209175.3140360459,0.0,0,2019,4,2019.0,3,1,0
9,39.0,Address,63.82352941176471,65.07,2,2,1,1,0,12500000.0,192100.81450745356,0.0,0,2019,4,1955.1764705882354,1,1,0
11,9.99,Address,0.0,49.49,1,1,1,1,1,12100000.0,244493.83713881602,0.0,0,2019,4,2019.0,3,1,0
4,20.09,Address,87.0,120.3,2,2,2,1,0,16180000.0,134497.09060681632,0.0,0,2019,4,1932.0,1,1,0
11,16.26,Address,83.0,198.24,4,2,2,1,1,44800000.0,225988.70056497172,0.0,0,2019,4,1936.0,3,1,1
7,35.5,Address,64.0,76.95,3,1,1,1,0,8360000.0,108641.97530864195,0.0,0,2019,3,1955.0,1,1,0
7,36.0,Address,68.0,213.89,6,3,3,1,1,37500000.0,175323.76455187247,0.0,0,2019,4,1951.0,1,1,0
7,23.2,Address,67.0,97.29,3,2,1,1,0,13000000.0,133621.13269606332,0.0,0,2019,4,1952.0,1,1,0
3,32.54,Address,73.0,119.66,3,2,2,1,0,14300000.0,119505.26491726557,0.0,0,2019,4,1946.0,1,1,0
3,52.08,Address,69.0,143.95999999999995,4,2,2,1,0,13000000.0,90302.86190608503,0.0,0,2019,4,1950.0,3,1,0
3,35.0,Address,64.0,97.44,2,2,1,1,0,13200000.0,135467.9802955665,0.0,0,2019,4,1955.0,1,1,0
3,41.92,Address,107.0,237.1,3,2,2,1,1,48000000.0,202446.22522142556,41.05,3100000,2019,3,1912.0,1,1,1
