district,land_shift_area,complete_year,building_shift_total_area,num_room,num_hall,num_toilet,num_partition,management_org,total_ntd,unit_ntd,carpark_shift_area,carpark_ntd,transaction_year,transaction_month,building_age,number_of_land,number_of_building,number_of_carpark
10,6.36,81.0,32.0,0,1,1,1,1,5920000.0,185000.0,0.0,0,2019,3,1938.0,1,1,0
12,32.95,70.0,116.56,3,2,2,1,0,23200000.0,199039.12148249827,0.0,0,2019,4,1949.0,1,1,0
12,24.8,76.0,94.94,3,2,2,1,0,18800000.0,198019.801980198,0.0,0,2019,4,1943.0,1,1,0
12,15.81,101.0,78.31,2,1,1,1,1,25100000.0,320521.00625718303,0.0,0,2019,4,1918.0,1,1,1
12,19.58,76.0,107.72,3,2,2,1,1,23580000.0,218900.8540660973,0.0,0,2019,4,1943.0,2,1,0
12,28.87,77.0,94.15,2,2,1,1,1,22000000.0,233669.67604885818,0.0,0,2019,3,1942.0,2,1,0
3,41.0,66.0,108.83,4,2,1,1,0,9500000.0,87292.10695580264,0.0,0,2019,3,1953.0,1,1,0
7,2.67,0.0,0.0,0,0,0,1,0,129133.0,48364.41947565544,0.0,0,2019,4,2019.0,1,0,0
7,64.19,0.0,0.0,0,0,0,1,0,3102643.0,48335.30144882381,0.0,0,2019,4,2019.0,1,0,0
3,49.0,46.0,39.0,0,0,0,0,0,7330000.0,187948.71794871797,0.0,0,2019,3,1973.0,1,1,0
7,25.19,72.0,101.9,4,2,2,1,0,13500000.0,132482.8263002944,0.0,0,2019,3,1947.0,1,1,0
7,26.0,59.0,77.0,0,0,0,0,0,6700000.0,87012.98701298701,0.0,0,2019,4,1960.0,1,1,0
7,16.07,107.0,141.60000000000005,3,2,2,1,1,29000000.0,204802.25988700558,37.8,2000000,2019,3,1912.0,1,1,1
7,26.88,73.0,125.45,3,2,2,1,1,20300000.0,161817.4571542447,0.0,0,2019,4,1946.0,1,1,0
7,13.11,108.0,61.05,1,1,1,1,1,16400000.0,268632.26863226865,8.48,1900000,2019,4,1911.0,1,1,1
7,16.15,0.0,0.0,0,0,0,1,0,879300.0,54445.82043343654,0.0,0,2019,4,2019.0,1,0,0
3,26.7,102.0,133.17,0,0,0,0,1,15120000.0,113539.08537959,27.52,2150000,2019,4,1917.0,1,1,1
3,672.0,0.0,0.0,0,0,0,1,0,12196000.0,18148.809523809523,0.0,0,2019,4,2019.0,1,0,0
7,31.88,97.0,179.38,3,2,2,1,1,44500000.0,248076.7086631732,0.0,0,2019,3,1922.0,1,1,1
7,66.17,0.0,0.0,0,0,0,1,0,3201600.0,48384.46425872752,0.0,0,2019,4,2019.0,1,0,0
7,25.75,65.0,78.67,3,2,1,1,0,8500000.0,108046.26922588026,0.0,0,2019,4,1954.0,1,1,0
9,3.64,98.0,45.22,1,1,1,1,1,10400000.0,229986.73153471915,0.0,0,2019,3,1921.0,1,1,0
4,9414.0,0.0,0.0,0,0,0,1,0,63000000.0,6692.160611854684,0.0,0,2019,2,2019.0,12,0,0
9,4.03,69.0,95.52,2,2,2,1,0,2010000.0,21042.7135678392,0.0,0,2019,4,1950.0,2,1,0
4,112.21,103.0,674.0799999999998,4,2,6,1,1,135880000.0,201578.4476619986,0.0,0,2019,4,1916.0,1,1,4
4,2.62,0.0,0.0,0,0,0,1,0,91854.0,35058.7786259542,0.0,0,2019,4,2019.0,1,0,0
9,31.67,76.0,141.97,4,2,2,1,0,29000000.0,204268.50743114747,0.0,0,2019,4,1943.0,1,1,0
4,3.07,0.0,0.0,0,0,0,1,0,65458.0,21321.824104234533,0.0,0,2019,4,2019.0,1,0,0
4,3.07,0.0,0.0,0,0,0,1,0,65458.0,21321.824104234533,0.0,0,2019,4,2019.0,1,0,0
4,47.47,103.0,287.86,3,2,2,1,1,59500000.0,206697.70027096503,45.17,0,2019,4,1916.0,1,1,1
9,41.0,61.0,118.42,3,2,1,1,0,18000000.0,152001.3511231211,0.0,0,2019,4,1958.0,1,1,0
4,30.25,97.0,149.51999999999995,2,2,2,1,1,18400000.0,123060.46013911185,0.0,0,2019,4,1922.0,1,1,2
11,31.25,66.0,88.49,3,2,2,1,0,19500000.0,220363.88292462425,0.0,0,2019,4,1953.0,1,1,0
