Index,land_shift_area,urban_land_use,complete_year,building_shift_total_area,num_room,num_hall,num_toilet,num_partition,management_org,total_ntd,unit_ntd,carpark_shift_area,carpark_ntd,transaction_year,transaction_month,building_age,number_of_land,number_of_building,number_of_carpark
746,47.08,Address,80.0,157.25,3,2,2,1,0,20880000.0,132782.19395866455,0.0,0,2019,4,1939.0,8,1,2
796,34.33,Other,102.0,251.65,4,2,2,1,1,33280000.0,132247.16868666798,51.95,0,2019,3,1917.0,1,1,1
798,27.28,Other,102.0,207.31,3,2,2,1,1,31580000.0,152332.2560416767,51.95,0,2019,4,1917.0,1,1,1
799,29.6,Address,87.0,174.74,4,2,2,1,1,24000000.0,137346.91541719125,0.0,0,2019,4,1932.0,1,1,0
800,24.14,Quotient,100.0,209.55,4,2,2,1,1,42500000.0,202815.55714626575,0.0,0,2019,3,1919.0,1,2,1
801,13.19,Quotient,94.0,95.28,2,2,1,1,1,18900000.0,198362.72040302266,12.79,1800000,2019,4,1925.0,1,1,1
803,31.6,Address,75.71428571428571,99.52,3,2,1,1,0,17200000.0,172829.58199356913,0.0,0,2019,4,1943.2857142857144,2,1,0
808,29.08,Address,74.0,102.1,3,2,2,1,0,13000000.0,127326.15083251715,0.0,0,2019,3,1945.0,1,1,0
904,26.76,Address,73.0,113.86,3,2,2,1,0,7000000.0,61479.00930967856,0.0,0,2019,4,1946.0,2,1,0
906,39.0,Address,63.4,79.56,3,2,1,1,0,13000000.0,163398.69281045752,0.0,0,2019,4,1955.6,1,1,0
907,43.52,Address,78.0,114.65,3,2,2,1,0,17340000.0,151242.91321412998,0.0,0,2019,4,1941.0,3,1,0
942,61.56,Address,99.0,183.19,3,2,2,1,1,19180000.0,104700.03821169278,43.95,2000000,2019,4,1920.0,1,1,1
946,34.8,Other,102.0,251.65,4,2,2,1,1,34500000.0,137095.17186568645,51.95,3000000,2019,3,1917.0,1,1,1
993,14.33,Address,106.0,78.42,1,1,1,1,1,9900000.0,126243.30527926546,20.6,800000,2019,4,1913.0,1,1,1
1002,32.33,Address,0.0,69.55,3,1,1,1,0,6000000.0,86268.87131560028,0.0,0,2019,4,2019.0,1,1,0
1108,65.6,work,78.0,350.53,0,0,0,0,1,38300000.0,109263.11585313668,0.0,0,2019,3,1941.0,1,1,1
1109,23.62,Address,100.0,125.44,3,2,2,1,1,29000000.0,231186.2244897959,0.0,0,2019,4,1919.0,1,1,0
1110,15.89,Address,102.0,119.84,2,2,1,1,1,24180000.0,201769.02536715622,0.0,0,2019,4,1917.0,1,1,1
1111,13.81,Quotient,106.0,197.27,4,2,2,1,1,36100000.0,182997.92163025297,38.65,0,2019,4,1913.0,1,1,1
1112,26.6,Address,75.71428571428571,94.94,3,1,2,1,0,13500000.0,142195.0705708869,0.0,0,2019,2,1943.2857142857144,1,1,0
1113,26.6,Address,75.71428571428571,94.94,1,1,1,1,0,19500000.0,205392.8797135033,0.0,0,2019,2,1943.2857142857144,1,1,0
1115,28.22,Other,102.0,259.25,3,2,2,1,1,38000000.0,146576.66345226616,103.8,0,2019,4,1917.0,1,1,2
1312,10.4,Quotient,0.0,0.0,0,0,0,1,0,5000000.0,480769.2307692308,0.0,0,2019,4,2019.0,2,0,0
1313,36.28,Address,63.4,84.3,2,1,1,1,0,11000000.0,130486.35824436536,0.0,0,2019,4,1955.6,1,1,0
1315,45.74,Address,99.0,215.55,3,2,2,1,1,42500000.0,197170.0301554164,56.42,0,2019,4,1920.0,1,1,2
1317,35.99,Address,105.0,290.35,4,2,2,1,1,41250000.0,142069.91561908042,77.82,0,2019,4,1914.0,1,1,2
1319,27.5,Other,0.0,0.0,0,0,0,1,0,1580000.0,57454.545454545456,0.0,0,2019,4,2019.0,1,0,0
1322,60.5,work,0.0,166.86,3,0,1,1,1,25400000.0,152223.42083183507,0.0,0,2019,4,2019.0,1,2,0
1401,22.38,Address,97.0,79.02000000000002,2,1,1,1,1,13800000.0,174639.33181473042,0.0,0,2019,4,1922.0,1,1,0
