Index,land_shift_area,urban_land_use,complete_year,building_shift_total_area,num_room,num_hall,num_toilet,num_partition,management_org,total_ntd,unit_ntd,carpark_shift_area,carpark_ntd,transaction_year,transaction_month,building_age,number_of_land,number_of_building,number_of_carpark
5447,35.32,Address,107.0,413.7,0,0,0,0,0,224190000.0,541914.4307469181,75.12,0,2019,3,1912.0,2,1,2
5449,111.64,Address,99.0,466.65,4,2,3,1,1,215000000.0,460730.7403835852,64.1,10000000,2019,4,1920.0,1,1,2
5452,31.5,Address,58.0,84.62,3,2,2,1,0,12800000.0,151264.4764831009,0.0,0,2019,4,1961.0,2,1,0
5506,18.83,Address,80.0,76.45,2,1,2,1,0,13000000.0,170045.78155657288,0.0,0,2019,4,1939.0,1,1,0
5507,14.21,Address,64.0,36.84,2,1,1,1,0,9860000.0,267643.8653637351,0.0,0,2019,4,1955.0,3,1,0
5510,11.32,Address,83.0,47.02,1,1,1,1,0,12460000.0,264993.61973628245,0.0,0,2020,1,1937.0,1,1,0
5578,18.96,Address,72.0,116.19,3,2,2,1,1,26800000.0,230656.6830191927,0.0,0,2019,4,1947.0,2,1,0
5594,10.2,Address,105.0,44.6,1,1,1,1,1,9080000.0,203587.44394618834,0.0,0,2019,4,1914.0,1,1,0
5595,29.0,Address,68.0,101.58,3,2,2,1,0,8800000.0,86631.22661941327,0.0,0,2019,4,1951.0,1,1,0
5658,12.17,Address,95.0,56.59,1,1,1,1,1,12500000.0,220887.08252341405,0.0,0,2019,4,1924.0,2,1,0
5660,14.14,Quotient,79.0,115.73,3,2,2,1,1,19900000.0,171951.95714162273,0.0,0,2019,4,1940.0,1,1,0
5661,10.76,Address,88.0,38.54,1,1,1,1,1,10080000.0,261546.44525168656,0.0,0,2019,4,1931.0,1,1,0
5662,26.38,Address,74.0,105.84,2,2,2,1,1,15900000.0,150226.75736961453,0.0,0,2019,4,1945.0,1,1,0
5667,20.6,Address,66.0,86.21,3,1,1,1,0,13750000.0,159494.25820670454,0.0,0,2019,4,1953.0,1,1,0
