Index,land_shift_area,urban_land_use,complete_year,building_shift_total_area,num_room,num_hall,num_toilet,num_partition,management_org,total_ntd,unit_ntd,carpark_shift_area,carpark_ntd,transaction_year,transaction_month,building_age,number_of_land,number_of_building,number_of_carpark
4584,15.66,Address,91.0,55.93,0,1,1,1,0,15180000.0,271410.6919363491,0.0,0,2019,4,1928.0,1,1,0
4585,43.47,Address,74.0,194.14,0,1,2,1,0,55300000.0,284845.9874317503,0.0,0,2019,3,1945.0,1,1,0
4586,25.06,Address,103.0,120.4,2,2,1,1,0,35880000.0,298006.64451827237,15.63,0,2019,4,1916.0,1,1,1
4587,25.06,Address,103.0,120.4,2,1,1,1,0,35800000.0,297342.19269102986,15.63,0,2019,4,1916.0,1,1,1
4588,10.38,Address,58.92857142857143,23.9,3,2,1,1,0,4427600.0,185255.23012552306,0.0,0,2019,4,1960.071428571429,1,1,0
4589,4.52,Other,0.0,45.16,1,1,1,1,1,14000000.0,310008.85739592556,0.0,0,2019,4,2019.0,2,1,0
4760,24.59,Address,80.0,284.28,4,2,3,1,1,69880000.0,245813.9862107781,0.0,0,2019,4,1939.0,3,1,1
4761,0.52,Address,89.0,33.120000000000005,0,0,0,1,1,3100000.0,93599.0338164251,0.0,3100000,2019,4,1930.0,0,0,1
4762,52.75,Address,58.92857142857143,120.21,3,2,2,1,0,30000000.0,249563.26428749692,0.0,0,2019,4,1960.071428571429,1,1,0
4763,14.03,Quotient,101.0,94.15,3,2,1,1,1,26880000.0,285501.85873605945,14.2,0,2019,4,1918.0,3,1,1
4764,44.5,Quotient,0.0,98.71,0,2,2,1,0,48000000.0,486272.92067672976,0.0,0,2019,4,2019.0,1,1,0
4765,5.39,Quotient,0.0,60.38,2,2,1,1,1,18260000.0,302418.0192116595,0.0,0,2019,4,2019.0,2,1,0
4766,8.75,Quotient,76.375,71.43,3,1,1,1,1,20000000.0,279994.4001119977,0.0,0,2019,4,1942.625,7,1,0
4782,28.91,Address,69.0,98.89,3,2,2,1,0,7800000.0,78875.5182526039,0.0,0,2019,4,1950.0,1,1,0
4783,29.6,Address,69.0,81.63,3,2,1,1,0,11880000.0,145534.72987872106,0.0,0,2019,4,1950.0,2,1,0
4784,7.01,Address,97.0,44.4,1,1,1,1,1,13500000.0,304054.0540540541,0.0,0,2019,4,1922.0,1,1,0
4813,17.75,Address,74.0,124.04,3,2,2,1,1,32000000.0,257981.2963560142,0.0,0,2019,4,1945.0,2,1,0
4814,39.69,Address,58.92857142857143,114.28,4,2,2,1,0,16500000.0,144382.21911095554,0.0,0,2019,4,1960.071428571429,1,1,0
4815,22.5,Address,58.92857142857143,73.34,3,1,1,1,0,15000000.0,204526.86119443685,0.0,0,2019,4,1960.071428571429,1,1,0
4816,54.91,Quotient,0.0,221.6,4,2,3,1,0,29000000.0,130866.42599277977,0.0,0,2019,4,2019.0,2,1,0
4817,3.18,Quotient,96.0,44.28,1,1,1,1,1,13600000.0,307136.4046973803,12.72,0,2019,4,1923.0,2,1,1
4818,39.53,Address,68.0,261.55,5,2,3,1,0,50880000.0,194532.59415025808,0.0,0,2019,4,1951.0,1,1,0
4928,10.2,Quotient,77.0,119.28,3,2,2,1,1,36080000.0,302481.55600268283,0.0,0,2019,4,1942.0,2,1,0
4929,0.02,Quotient,98.0,13.81,0,0,0,1,1,1300000.0,94134.68501086169,13.15,1300000,2019,4,1921.0,0,0,1
4930,31.23,Address,75.0,126.86,3,1,2,1,1,12706157.0,100158.89169162855,0.0,0,2019,4,1944.0,2,1,0
4931,11.14,Address,62.0,61.96,2,2,1,1,1,17820000.0,287604.9063912201,0.0,0,2019,4,1957.0,2,1,0
4932,32.68,Quotient,105.0,302.86,3,2,3,1,1,91800000.0,303110.34801558475,61.58,0,2019,4,1914.0,2,1,2
4933,28.2,Address,104.0,125.09,2,2,1,1,1,37500000.0,299784.1554081061,0.0,0,2019,4,1915.0,1,1,1
4934,24.76,Address,75.0,186.29,4,2,2,1,1,50000000.0,268398.7331579795,30.99,0,2019,4,1944.0,1,1,1
4935,44.58,Address,101.0,192.82,1,1,1,1,0,55000000.0,285240.12031946896,0.0,0,2019,4,1918.0,2,1,1
4964,46.25,Address,58.92857142857143,110.1,3,2,2,1,0,25600000.0,232515.89464123533,0.0,0,2019,4,1960.071428571429,1,1,0
4965,27.6,Address,0.0,0.0,0,0,0,1,0,7176624.0,260022.60869565216,0.0,0,2019,4,2019.0,1,0,0
4980,28.3,Address,76.0,203.41,4,2,2,1,1,50630000.0,248906.1501401111,34.17,0,2019,4,1943.0,1,1,1
4981,31.6,Address,79.0,347.92999999999995,5,2,4,1,1,60000000.0,172448.4810162964,38.89,0,2019,4,1940.0,2,1,1
4982,5.26,Other,67.0,36.35,0,0,0,0,1,8000000.0,220082.53094910595,0.0,0,2020,1,1953.0,2,1,0
4983,11.64,Quotient,54.0,24.38,3,2,1,1,0,4675000.0,191755.5373256768,0.0,0,2019,4,1965.0,2,1,0
4984,11.64,Quotient,54.0,24.38,3,2,1,1,0,4675000.0,191755.5373256768,0.0,0,2019,4,1965.0,2,1,0
4985,23.14,Address,82.1,147.20999999999995,4,2,2,1,0,34380000.0,233543.91685347466,0.0,0,2019,4,1936.9,2,1,0
4986,0.29,Other,0.0,0.0,0,0,0,1,0,50000.0,172413.7931034483,0.0,0,2020,1,2020.0,1,0,0
4987,0.29,Other,0.0,0.0,0,0,0,1,0,50000.0,172413.7931034483,0.0,0,2020,1,2020.0,1,0,0
4988,7.27,Other,0.0,0.0,0,0,0,1,0,200000.0,27510.316368638243,0.0,0,2020,1,2020.0,5,0,0
